# Frox 日本語化 J7: **クエストの名前と依頼文**（設計 §8.59）。
# 欄: 鍵<TAB>訳。**鍵は触らない。**訳が空なら英語のまま出る（制約 4）。
#   name:番号      … q_info.txt の N: の名前
#   q_xxx.txt:番号 … その本の D: の連なり（上から 1, 2, …）
# `D:` は空白で継がれるので、**1 段落 1 行**で書くこと（§8.59）。
#
# The Thieves' Hideout (Outpost)
name:1	盗賊の隠れ家 (辺境の地)
name:36	砂の穴 (アングウィル)
# Random 1
name:40	-
# Random 2
name:41	-
# Random 3
name:42	-
# Random 4
name:43	-
# Random 5
name:44	-
# Random 6
name:45	-
# Random 7
name:46	-
# Random 8
name:47	-
# Random 9
name:48	-
# Random 10
name:49	-
# Trouble at Home (Outpost)
name:50	我が家の厄介事 (辺境の地)
# I Hate Snakes! (Morivant)
name:51	蛇は嫌いだ！ (モリバント)
# The Old Barracks (Morivant)
name:52	古い兵舎 (モリバント)
# The Shopkeeper's Secret (Morivant)
name:53	店主の秘密 (モリバント)
# The Elven Embassy (Morivant)
name:54	エルフの大使館 (モリバント)
# The Underground City (Morivant)
name:55	地下都市 (モリバント)
# Clear the Tunnels (Anambar)
name:60	坑道の掃除 (アナンバール)
# Clear the Wreckage (Thalos)
name:61	瓦礫の片付け (サロス)
# Crow's Nest (Outpost)
name:62	カラスの巣 (辺境の地)
# Mushrooms (Thalos)
name:63	キノコ (サロス)
# The Renegade Sorcerer (Thalos)
name:64	裏切りの仙術士 (サロス)
# Tidy the Laboratory (Thalos)
name:65	研究室の片付け (サロス)
# Basilisk Cave (Thalos)
name:66	バジリスクの洞窟 (サロス)
# Crystal Quest (Anambar)
name:67	水晶の依頼 (アナンバール)
# Dinosaur Quest (Anambar)
name:68	恐竜の依頼 (アナンバール)
# The Old Watchtower (Thalos)
name:69	古い物見の塔 (サロス)
# Djinni's Cavern (Thalos)
name:70	ジンの洞窟 (サロス)
# Shadow Fairies (Thalos)
name:71	影の妖精 (サロス)
# The Killer in the Cellar (Anambar)
name:72	地下室の殺し屋 (アナンバール)
# Smugglers' Den (Anambar)
name:73	密輸人の隠れ家 (アナンバール)
# Cop Quest (Anambar)
name:74	衛兵の依頼 (アナンバール)
# The Mystery of Apina Island (Anambar)
name:75	アピナ島の謎 (アナンバール)
# Staff Recovery (Thalos)
name:76	杖の回収 (サロス)
# Eddies in the Space-Time Continuum (Zul)
name:77	時空の渦 (ズル)
# The Volcano (Telmora)
name:78	火山 (テルモラ)
# Troll Slayer (Morivant)
name:56	トロル殺し (モリバント)
# Giant Slayer (Morivant)
name:57	巨人殺し (モリバント)
# Dragon Slayer (Morivant)
name:58	ドラゴン殺し (モリバント)
# Demon Slayer (Morivant)
name:59	悪魔殺し (モリバント)
# Dragon Slayer (Morivant)
name:79	ドラゴン殺し (モリバント)
# Demon Slayer (Morivant)
name:80	悪魔殺し (モリバント)
# Giant Slayer (Morivant)
name:81	巨人殺し (モリバント)
# Purple Quest
name:82	紫の依頼
# The Treachery of Lord Bovin (Anambar)
name:83	ボヴィン卿の裏切り (アナンバール)
# Bear Problem (Outpost)
name:84	熊の騒ぎ (辺境の地)
# Doom Quest II\: Hell in Angwil
name:85	破滅のクエスト２\: アングウィルの地獄
# Facing the Books (Angwil)
name:86	本との対決 (アングウィル)
# The Compost Heap (Outpost)
name:87	堆肥の山 (辺境の地)
# Swamp Lights (Telmora)
name:88	沼の灯 (テルモラ)
# Cyclops's Lair (Thalos)
name:89	サイクロプスの巣 (サロス)
# Dark Academy (Thalos)
name:90	闇の学院 (サロス)
# The Pit of Despair (Angwil)
name:91	絶望の穴 (アングウィル)
# Ghost Town (Morivant)
name:92	廃墟の町 (モリバント)
# The Dwarven Embassy (Morivant)
name:93	ドワーフの大使館 (モリバント)
# Troll Invasion (Telmora)
name:94	トロルの襲来 (テルモラ)
# The Lost Temple of the Spider-God (Morivant)
name:95	蜘蛛神の失われた神殿 (モリバント)
# The Thing under the Mountain (Telmora)
name:96	山の下の怪物 (テルモラ)
# Metatron
name:97	メタトロン
# The Angwilian Stables (Outpost)
name:98	アングウィルの厩舎 (辺境の地)
# The Treasure of Scary Rock (Anambar)
name:99	恐岩の宝 (アナンバール)
# One of our former students has brought shame on the order of wizards by taking over the local museum and turning it into an academy of evil. He has begun teaching the dark arts to all applicants, and what's worse, below market prices. Put a stop to his treachery and reclaim our honour.
q_acadmy.txt:1	かつての教え子のひとりが、この地の博物館を乗っ取って悪の学院に変えてしまい、魔術師の一門に恥をかかせている。志願者なら誰にでも闇の術を教え始めたうえ、あろうことか相場より安い値で教えているのだ。あの裏切り者を止め、我らの名誉を取り戻してくれ。
# Well done! We will convert the building back into a museum, but you can have this amulet as your reward, it's too valuable to go back into the collection.
q_acadmy.txt:2	見事だ！ 建物は博物館に戻すとしよう。だがこのアミュレットは礼として取っておくがいい。収蔵品に戻すには価値がありすぎる。
# You have failed us. I hate competition so much.
q_acadmy.txt:3	期待を裏切ってくれたな。競争相手というものが、私はほとほと嫌いだ。
# One of the houses in town was recently sold to a foreign merchant. Now more and more alarming things happen like a sudden plague of evil in the moats, animals dying, people getting sick, and a general run of bad luck for our town. It is like someone is playing around with powers of darkness. I have evidence that the origin of everything is the stranger living in the house in the north-west corner of town. I need you to take this foul invader out.
q_antipaladin.txt:1	町の家の一軒が、近ごろ余所者の商人に売られた。それからというもの、堀に悪しきものが湧き、家畜が死に、人が病み、町全体が不運続きだ。誰かが闇の力をもてあそんでいるとしか思えん。すべての元凶は、町の北西の角の家に住むあの余所者だという証拠を掴んでいる。あの穢れた侵入者を始末してくれ。
# You saved us from deep trouble. Please accept this modest gift.
q_antipaladin.txt:2	おかげで深刻な事態を免れた。ささやかだが、このアイテムを受け取ってくれ。
# It seems like I've overestimated your power. But at least my friend Astinus, the Librarian says that the Anti-paladin has left the town. Let us hope that he never comes back.
q_antipaladin.txt:3	どうやらあなたの力を買いかぶっていたようだ。だが少なくとも、司書の友人アスティナスの話では、あのアンチパラディンは町を出たらしい。二度と戻らぬことを祈るばかりだ。
# Sailors have become afraid of passing anywhere near Apina Island. They claim it's haunted by the crew of the dread pirate Roope, and fear attacks from his ghost ship. I'd dismiss it as just another silly maritime myth, but it's starting to disturb trade; please investigate the island and make sure there's no one there.
q_apina.txt:1	船乗りたちがアピナ島の近くを通るのを怖がるようになった。恐るべき海賊ロープの乗員たちの亡霊が出る、幽霊船に襲われる、と言うのだ。またぞろ海の与太話かと思っていたが、交易に障りが出はじめている。島を調べて、誰もいないことを確かめてきてほしい。
# Thank you! You never know when a silly-sounding myth might be confirmed.
q_apina.txt:2	ありがとう！ 馬鹿げた言い伝えがいつ本当になるか、わかったものではないからな。
# That's horrible! Hopefully some day I can find a genuine hero to cleanse the place.
q_apina.txt:3	なんと恐ろしい！ いつかあの場所を清めてくれる本物の英雄が見つかることを願うよ。
# One of the mountains in the eastern part of our territory used to host a dwarven mining community; but they moved out in a hurry after their tunnels started spitting out lava. At first we thought it was just a normal volcano that had lain dormant for centuries, but it now appears their diggings disturbed the sleep of something even more dangerous. A shadowy horror, cloaked in flames, is rumoured to have lived under the old mine; we occasionally hear the mountain rumble at night, as if some enormous monster were trying to dig its way out. We hope you can put it back to sleep before it reaches the open.
q_balrog.txt:1	領の東にある山のひとつは、かつてドワーフの鉱山町だった。だが坑道から溶岩が噴き出しはじめ、彼らは慌てて出ていった。はじめは何百年も眠っていた普通の火山だろうと思っていたが、どうやら彼らの掘削が、もっと危険な何かの眠りを妨げてしまったらしい。炎をまとった影の恐怖が古い坑の下に棲んでいたという噂がある。夜になると山が唸るのだ。まるで途方もない怪物が外へ掘り進もうとしているかのように。表へ出てくる前に、もう一度眠らせてやってほしい。
# Thank you! Here is a reward for your good work.
q_balrog.txt:2	ありがとう！ よい働きへの報酬だ、受け取ってくれ。
# That's horrible news.
q_balrog.txt:3	なんとも恐ろしい知らせだ。
# The next building will be the barracks. As you have noticed, there are a lot of lost souls wandering the ruined buildings. Therefore, this could be very dangerous as a lot of soldiers were quartered here.
q_barracks.txt:1	次の建物は兵舎だ。気づいているだろうが、崩れた建物には迷える魂が数多くさまよっている。ここには兵が大勢詰めていたから、相当に危険だろう。
# I hear there were some valuable items in the barracks. You can keep anything you found as your reward.
q_barracks.txt:2	兵舎には値打ちのあるアイテムがいくつかあったと聞いている。見つけたものは何でも報酬として持っていってよい。
# You have failed me, beware you do not do so again!
q_barracks.txt:3	期待を裏切ってくれたな。二度と同じことのないように！
# Lately, a dark evil has been discovered. An ancient burial ground has been taken over by something terrible. Creatures black as night now inhabit the place, attacking our villagers and eating our young. Please, we are desperate. We don't have much to offer, but we beg you to help us!
q_barrow_downs.txt:1	近ごろ、暗い災いが見つかったのです。古い埋葬地が、恐ろしい何かに乗っ取られてしまいました。夜のように黒い生き物どもが棲みつき、村人を襲い、幼子を食らっています。どうか――我々にはもう手がありません。差し出せるものは多くありませんが、助けてくださるようお願いします！
# Thank you! You have saved our town and our people rejoice! I've talked with Astinus, the local librarian, Suiyan, the local weaponmaster, and Lorien, the local beastmaster. They will offer you a special discount price when they serve you. It is not much, but we are a poor people.
q_barrow_downs.txt:2	ありがとうございます！ 町は救われ、皆が喜んでおります。土地の司書アスティナス、武器の達人スイヤン、獣使いのロリエンとも話をつけました。あなたが訪ねれば特別に安くしてくれるはずです。大したことはできませんが、我々は貧しい民なのです。
# Thank you! You have saved our town and our people rejoice! Please accept this gift.
q_barrow_downs.txt:3	ありがとうございます！ 町は救われ、皆が喜んでおります。どうかこのアイテムをお納めください。
# Oh no! We are doomed to periodic culling from the foul denizens of the Barrow Downs. You have disappointed me dearly. Please, begone for now. I must inform the village of your failure. Come back later after we have had time to grieve.
q_barrow_downs.txt:4	ああ、なんということだ！ これでは塚山丘陵の穢れた住人どもに、幾度でも間引かれるほかありません。ひどく落胆しました。今はどうかお引き取りを。村に失敗を伝えねばなりません。悲しみが癒えたころに、また来てください。
# Hey you came back. Okay, next thing you should study is that cave up there to the north. It's full of basilisks. I want drawings of their gizzards. I warn you this is a graded examination and the pass rate is low. Don't let  that put you off I'm sure you've been hard at work reading.
q_basilisk.txt:1	おや、戻ってきたか。よろしい、次に調べるのは北の上手にあるあの洞窟だ。バジリスクだらけでな。奴らの砂嚢の写生図が欲しい。断っておくがこれは成績のつく試験で、合格率は低い。まあ怯むな、しっかり読み込んできたのだろう。
# Fancy seeing you again! Top marks, here's your badge of merit.
q_basilisk.txt:2	また会えたな！ 満点だ、これが優等の記章だ。
# Oh it's you again. What? You ran away? No credit for this assignment.
q_basilisk.txt:3	ああ、また君か。なんだと？ 逃げ出した？ この課題は単位なしだ。
# The bear population in our eastern forests has exploded recently; before we'd only see the occasional solitary grizzly, but now they're forming groups and even use our roads. They seem to live in a cave near the southern edge of the forest, at the base of a large hill. The Count believes them responsible for the disappearances of some of our citizens, who were last seen walking in that area. Please explore their den and make our town safe again.
q_bears.txt:1	東の森で熊が急に増えている。以前は一頭きりのハイイログマをたまに見かける程度だったのに、今では群れをなし、街道まで使う始末だ。森の南の端、大きな丘の麓にある洞窟を棲み処にしているらしい。伯爵は、あのあたりで最後に姿を見られた住民の失踪も熊のしわざだとお考えだ。巣を調べて、町をふたたび安全にしてくれ。
# Thank you, truly you are stronger than any bear.
q_bears.txt:2	ありがとう。あなたはまことに、どんな熊よりも強い。
# I hope I can find someone more capable than you.
q_bears.txt:3	あなたより腕の立つ者が見つかることを願うよ。
# There have been a flock of birds attacking people on the roads and carrying  away their valuables. We think they have a nest up in the hills to the south.  We need your help.
q_birds.txt:1	街道で人を襲い、金目のものをさらっていく鳥の群れがいる。南の丘に巣があるとみている。力を貸してほしい。
# Now those devilish birds won't be harming innocent people.
q_birds.txt:2	これであの悪魔じみた鳥どもが罪のない人を傷つけることもない。
# You have failed me, beware you do not do so again!
q_birds.txt:3	期待を裏切ってくれたな。二度と同じことのないように！
# Some nights ago, a local woman heard a dreadful scream from the cellar next door and ran down to investigate. She found her neighbor's mutilated body lying in a pool of blood on the cellar floor, with terrible scratch marks on his face and firewood still in his arms; there was no sign of the assailant or assailants. Spooked, she ran for her life and reported the incident to us immediately. We sent an officer in to investigate, he was thrown back out by an invisible force as easily as if he had been a cheap rag doll. I know not what horrors you will face, I only know that this may well be your most dangerous mission yet, and hope I am not sending you to your death. Good luck, and may the gods protect you.
q_cellar.txt:1	幾晩か前のこと、この地の女が隣家の地下室から恐ろしい悲鳴を聞き、駆け下りて確かめた。そこで見たのは、地下室の床の血だまりに横たわる隣人の無残な亡骸だ。顔にはひどい掻き傷があり、腕にはまだ薪を抱えていた。襲った者の姿はどこにもない。女は怯えて逃げ出し、すぐさま我々に届け出た。調べに向かわせた役人は、安物の布人形のようにたやすく、目に見えぬ力で外へ投げ返された。どんな怪異が待つのか私にもわからん。ただ、これがあなたにとってこれまでで最も危険な務めになるだろうことと、死地へ送り出すのでないことを願うばかりだ。武運を祈る。神々の加護があらんことを。
# You came through when no one else could have done. Please accept this gift.
q_cellar.txt:2	ほかの誰にもできなかったことを、あなたはやり遂げた。どうかこのアイテムを受け取ってくれ。
# [CENSORED]
q_cellar.txt:3	[検閲済み]
# The Wizards of Chaos have discovered a magical Node of Chaos in a nearby volcano. You must seek the Node and dispatch its guardians so that the Tower of Chaos can claim the mystical energies of the Node.
q_chaos.txt:1	カオスの魔術師たちが、近くの火山にカオスの特異点を見つけた。おまえはその特異点を探し出し、守護者どもを片づけよ。カオスの塔がその神秘の力を手にできるようにな。
# You have done well.
q_chaos.txt:2	よくやった。
# Begone, incompetent fool! The dimensional energies of the  mystic Node have faded away and are lost forever! You had your chance and botched the job.
q_chaos.txt:3	去れ、無能者め！ 神秘の特異点の次元の力は薄れ、永久に失われた！ 機会は与えたのに、おまえはしくじったのだ。
# The compost heap on the other side of the city has started attracting large numbers of rats, some of them of a type we've never seen before. Please try to locate their nest and stop the infestation.
q_cheap.txt:1	町の反対側にある堆肥の山に、鼠が大挙して集まりはじめた。中には見たこともない種類のものもいる。奴らの巣を突き止めて、この蔓延を食い止めてくれ。
# Thank you for eradicating those pests! It was a dirty job, but someone had to do it.
q_cheap.txt:2	害虫どもを駆除してくれてありがとう！ 汚れ仕事だったが、誰かがやらねばならなかったのだ。
# Oh no! I hope we won't have to suffer the rats forever.
q_cheap.txt:3	なんということだ！ この先ずっと鼠に悩まされずに済むことを願うよ。
# For the past few years we have been cloning exceptionally powerful  creatures for gladiatorial combat. Something has gone very wrong in  the Cloning Pits. Please eliminate all the clones and you will be well rewarded. The active security systems have stopped working. The clones can use magic, teleport, summon, etc. "The Ultimate Dungeon  Cleaner" security bots are no longer controlled, so you will need to eliminate them as well. Levitation and a good distance weapon are recommended.
q_cloning_pits.txt:1	ここ数年、我々は闘技場の戦いのために、飛び抜けて強い生き物を複製してきた。ところがクローン地獄でひどい手違いが起きた。クローンをすべて始末してくれれば、たっぷり礼をしよう。稼働していた警備の仕組みは止まってしまった。クローンどもは魔法を使い、テレポートし、召喚もする。『究極ダンジョン=クリーナー』の警備ロボットももう制御が効かないので、あれも片づけてもらう必要がある。浮遊の力と、よい遠距離武器を勧めておく。
# Impressive!!
q_cloning_pits.txt:2	見事！！
# It seems like this task was too difficult for you.
q_cloning_pits.txt:3	この務めはあなたには荷が重すぎたようだ。
# Unfortunately, rates of violent crime in our city have soared in recent months. For some reason, we've started attracting all sorts of crazy outsiders who fancy themselves "adventurers"; and the Mayor was happy with them at first because they brought in money, and the shopkeepers were happy too as you can probably guess. But now they're braining innocent townsfolk for the sake of a few dollars, or using them as targets for test zaps on their new wands, or just slicing them in half because they happen to be in the way. A whole bunch of those carrot-suckers are based in a small secluded house southeast of here, near the south wall. Regrettably, we can't massacre them because we're cops and need to obey the law; I would be most grateful for any help you can offer.
q_cq1.txt:1	残念ながら、この数か月で我が町の凶悪犯罪が跳ね上がっている。どういうわけか、自分を『冒険者』だと思い込んだ頭のおかしい余所者ばかりが集まるようになった。金を落としていくので市長ははじめ喜んでいたし、察しのとおり店主たちも喜んでいた。だが今では、はした金のために罪のない町の者を殴り倒し、新しい杖の試し撃ちの的にし、たまたま道をふさいだというだけで真っ二つにしている。あの薄のろどもの大半は、ここから南東の、南の城壁近くにある人目につかない小屋を根城にしている。我々は警官で法に従わねばならないから、まとめて始末するわけにはいかない。手を貸してもらえるなら、これほどありがたいことはない。
# Those "adventurers" are gone now? That's wonderful! No, don't tell me exactly what happened, I don't need to know... Since their house is now unoccupied, maybe you could move in.
q_cq1.txt:2	あの『冒険者』どもはもういない？ すばらしい！ いや、何があったかは詳しく言わなくていい、知る必要はない…。小屋が空いたのだから、あなたが住んでもいいのではないか。
# Too bad. I just hope you're not contemplating suicide after this abject failure.
q_cq1.txt:3	残念だ。これほど無様に失敗したからといって、自ら命を絶とうなどと考えていないことを祈るよ。
# A mysterious force has entered the royal crypt and is desecrating the graves of the king's noble ancestors. Their bodily remains have been magically animated and their spirits enslaved and forcibly turned to evil. You must enter the crypt and seek out the Archliches. Once they have been eliminated, my guards should be able to take care of the rest.
q_crypt.txt:1	謎の力が王家の墓所に入り込み、王の高貴な先祖たちの墓を汚している。亡骸は魔法で動かされ、魂は囚われて無理やり邪悪へ転じさせられた。あなたには墓所へ入り、アーチリッチどもを探し出してもらいたい。奴らさえ片づけば、残りは我が衛兵たちで始末できるはずだ。
# How can I ever thank you? Let the people rejoice - a hero of legend walks this day in Outpost. My treasurer tells me a number of rather valuable heirlooms seem to be missing from the crypt - how about I turn a blind eye and we call it quits? Oh wait a moment ... Now where did I put that? Ah! Take this trinket and be glad you still live.
q_crypt.txt:2	どう礼を言えばよいものか。皆に喜びを。伝説の英雄が今日、辺境の地を歩いているのだ。会計係が言うには、墓所からかなり値打ちのある家宝がいくつか失せているらしい。見て見ぬふりをする代わりに、これで貸し借りなしということにしないか。おや、少し待て…どこへ置いたかな。ああ！ この小物を持っていけ。命があるだけでも喜ぶことだ。
# A mysterious force has entered the royal crypt and is desecrating the graves of the king's noble ancestors. Their bodily remains have been magically animated and their spirits enslaved and forcibly turned to evil. You must enter the crypt and seek out the Archliches. Once they have been eliminated, the town guard should be able to take care of the rest.
q_crypt.txt:3	謎の力が王家の墓所に入り込み、王の高貴な先祖たちの墓を汚している。亡骸は魔法で動かされ、魂は囚われて無理やり邪悪へ転じさせられた。あなたには墓所へ入り、アーチリッチどもを探し出してもらいたい。奴らさえ片づけば、残りは町の衛兵で始末できるはずだ。
# How can we ever thank you? Let the people rejoice - a hero of legend walks this day in Outpost. This land will forever remain in your debt.
q_crypt.txt:4	どう礼を言えばよいものか。皆に喜びを。伝説の英雄が今日、辺境の地を歩いているのだ。この地は末永くあなたに恩義を負うことになる。
# I trusted you and you have failed me. Heaven knows how we will appease the spirits of the king's ancestors now!
q_crypt.txt:5	あなたを信じたのに、期待を裏切られた。王の先祖の魂を、これからどうやって鎮めればよいというのだ！
# I always... uh, our city always needs more money, and I know a mage in Thalos who would pay handsomely for a shipment of dragons' hearts. What'd you say you open five great crystal drakes for him and we split the reward? You should find the drakes nesting in the crystal castle away to the east.
q_crystal.txt:1	私はいつも…いや、我が町はいつも金が要る。サロスに、竜の心臓を一荷ぶん納めれば気前よく払ってくれる魔術師の知り合いがいるのだ。グレート・クリスタル・ドレイクを五頭ほど開いてやって、報酬を山分けというのはどうだね。ドレイクは東の彼方の水晶の城に巣を作っているはずだ。
# Thank you very much, here's your share of the reward. I look forward to working together with you again.
q_crystal.txt:2	まことにありがとう。これがあなたの取り分だ。またともに仕事ができるのを楽しみにしているよ。
# That's a pity, I guess I should have contracted someone more experienced.
q_crystal.txt:3	残念だ。もっと経験のある者に頼むべきだったな。
# There's a cave to the east of the city, near the shore, that we've always been a bit afraid to approach; but until recently we never thought there was anything worse there than a couple of bears, and some spiders and bats near the entrance. Now, though, it seems the bears have been driven out by a man-eating cyclops! We need a hero to visit the cave and rid us of that one-eyed giant.
q_cyclo.txt:1	町の東、岸辺の近くに洞窟がある。昔から近寄るのが少々恐ろしい場所だったが、つい最近までは、熊が二、三頭と、入口あたりに蜘蛛や蝙蝠がいる程度だと思っていた。ところが今度は、その熊が人食いのサイクロプスに追い出されたらしい。洞窟へ出向き、あの一つ目の巨人を退治してくれる英雄が要る。
# You saved us from deep trouble. Please accept this modest gift.
q_cyclo.txt:2	おかげで深刻な事態を免れた。ささやかだが、このアイテムを受け取ってくれ。
# You have failed me, beware you do not do so again!
q_cyclo.txt:3	期待を裏切ってくれたな。二度と同じことのないように！
# A small group of Dark Elven Lords have set up a small shop in town. I do not need any competition, so kill everything  in their shop. You will be very well rewarded. Their shop is located in the Magic Shop's building. They are well guarded, so be careful.
q_dark_elves.txt:1	ダークエルフ・ロードの一団が、町に小さな店を構えた。競争相手など要らんのでな、店の中のものを皆殺しにしてもらいたい。礼はたっぷり弾む。店は魔法の店の建物の中にある。守りは固いから気をつけろ。
# Thank you! Your efforts are greatly appreciated.
q_dark_elves.txt:2	ありがとう！ よくやってくれた。
# The quest was more than you could handle.
q_dark_elves.txt:3	この依頼はあなたの手に余ったようだな。
# You're one of the strongest we've seen, so here's your final test - go to Angband and kill ten lesser balrogs. If you can do it, we'll sing songs to your glorious triumph.
q_dem_old.txt:1	あなたは今まで見た中でも指折りの強者だ。ならば最後の試験だ。鉄獄へ行き、レッサー・バルログを十体倒してこい。やり遂げたなら、その輝かしい勝利を歌にして讃えよう。
# Wow! Here's a trophy of your great victory.
q_dem_old.txt:2	おお！ これは偉大な勝利の記念品だ。
# So you were never that good really.
q_dem_old.txt:3	どうやら、それほどの腕ではなかったのだな。
# You're one of the strongest we've seen, so here's your final test - go to Angband and kill ten pit fiends. If you can do  it, we'll sing songs to your glorious triumph.
q_demonslayer.txt:1	あなたは今まで見た中でも指折りの強者だ。ならば最後の試験だ。鉄獄へ行き、ピット・フィーンドを十体倒してこい。やり遂げたなら、その輝かしい勝利を歌にして讃えよう。
# Wow! Here's a trophy of your great victory.
q_demonslayer.txt:2	おお！ これは偉大な勝利の記念品だ。
# So you were never that good really.
q_demonslayer.txt:3	どうやら、それほどの腕ではなかったのだな。
# This is strictly confidential, but I've heard reports that a local wizard is running a dinosaur reintroduction program! The nutjob's using magic to resurrect dinosaurs and dimetrodons; so far he's kept them under wraps at his own place, but it's only a matter of time before he lets them loose. The last thing our city needs is a population of urban dinosaurs; I would be blamed and ousted in no time, no matter how hard I argued it was good for tourism. I hope you can unresurrect them before that happens. The wizard's house is to the west of here, north of the  police station; I won't be too sorry if it turns out you need to off him  as well.
q_dino.txt:1	これは他言無用だが、この地の魔法使いが恐竜の再導入計画をやっているという報告を聞いた。その変わり者は魔法で恐竜やディメトロドンを蘇らせているのだ。今のところ自分の屋敷に隠しているが、放し飼いにするのも時間の問題だろう。都会に恐竜が住み着くなど、我が町にいちばん要らないものだ。観光の役に立つといくら言い張っても、私はたちまち責めを負わされて追い出される。そうなる前に、蘇りを解いてやってほしい。魔法使いの家はここから西、警察署の北にある。ついでにあの男を始末することになったとしても、私はさほど悲しまないよ。
# Thank you for solving my prehistoric problem. Here's your reward, I hope you find it satisfactory.
q_dino.txt:2	太古の悩みを片づけてくれてありがとう。これが報酬だ、気に入ってもらえるとよいのだが。
# Sweet zombie Serpent, no. I just hope it's not true that urban dinosaurs evolve into dragons over time.
q_dino.txt:3	おお、サーペント・ゾンビよ、勘弁してくれ。都会の恐竜が時とともに竜へ進化するという話が、嘘であることを祈るばかりだ。
# We've had a few problems lately with the rogue djinni who lives in a cavern to the northeast of the city. It was previously quite tame and did the bidding of a local sorcerer, but the man vanished some time ago and the djinni has been out of control since then. Please visit its cave and eliminate it and any lesser spirits that may attend to it. (I've heard rumours that the djinni might become friendly again if offered peppermint leaves; so if you have any, that could be an alternative way to deal with it.)
q_djinni.txt:1	町の北東の洞窟に棲む、はぐれたディジニのことで近ごろ厄介が続いている。以前はおとなしく、この地の魔術師の言いつけを守っていたのだが、その男がしばらく前に姿を消してから、ディジニは手がつけられなくなった。洞窟へ出向き、あれと、付き従う下位の精霊たちを始末してほしい。（薄荷の葉を差し出せばディジニがまた友好的になる、という噂も聞いている。持っているなら、それも片づけ方のひとつになるだろう。）
# My men found this valuable lamp in the djinni's secret treasure trove, I hope you find it an acceptable token of our gratitude.
q_djinni.txt:2	部下がディジニの隠し財宝から、この値打ちのあるランプを見つけてきた。感謝の印として受け取ってもらえるとよいのだが。
# You have failed me, beware you do not do so again!
q_djinni.txt:3	期待を裏切ってくれたな。二度と同じことのないように！
# We need your help, adventurer. A hole has opened up to the northwest of our town, and strange demons lurk within. One of our townspeople investigated it unwittingly and barely  escaped with his life! Please destroy these demons and  ensure the continued safety of our town, else we are surely doomed.
q_doom1.txt:1	冒険者よ、力を貸してほしい。町の北西に穴が開き、その中に奇怪な悪魔どもが潜んでいる。町の者がひとり、それと知らずに調べに入り、命からがら逃げ帰ってきた。どうかその悪魔どもを滅ぼし、我が町の安全を守ってくれ。さもなくば我々は破滅するほかない。
# Thank you for killing the demons!
q_doom1.txt:2	悪魔どもを倒してくれてありがとう！
# I've sent out someone else to do the job. Now leave me alone!
q_doom1.txt:3	その仕事はもう別の者に行かせた。ひとりにしてくれ！
