# アイテム（アイテム）の説明文
#
# **この表が説明文の定義の置き場。** 作り直しは `python tools/frox/fc_build_ja_desc.py --write`、
# ここから `edit/k_info.ja.txt` の `D:` を組むのは `fc_build_ja_names.py --write`。
#
# 欄はタブ区切りで idx / name / dep / src / ratio / en / ja。
#   src=変愚   … 英語原文が変愚と一致。訳をそのまま採った
#   src=変愚≒  … ほぼ一致（ratio が材料）。**目で確かめること**
#   src=当方   … 人が書いた。**作り直しでも消さない**
#   src=未訳   … 空欄。英語のまま出る（制約 4）
#
# ja を書き替えれば src は次の作り直しで自動的に `当方` になる。
# name と en は**人が読むため**で、突き合わせには使わない（突き合わせは idx）。
idx	name	dep	src	ratio	en	ja
160	& Sling~	5	変愚	1.000	A loop of leather and cords able to hurl stones or shot with tremendous velocity.	長い紐の中間にある革製の石受け部分に石を包み、これを振り回す勢いで石を飛ばす武器だ。原始的な構造だが威力はある。
161	& Short Bow~	10	変愚	1.000	The traditional hunter's weapon, this light bow is easily drawn.	伝統的に狩人に用いられる武器だ。この軽い弓は簡単に引く事ができる。
162	& Long Bow~	30	変愚	1.000	As tall as a man, the longbow can drive an arrow through the heaviest armour.	人の身長程の長さの弓だ。厚い鉄製の鎧でも貫通する程の威力を持つ。
163	& Light Crossbow~	15	変愚	1.000	A mechanical bow made of wood, it is cocked to augment the strength of its wielder.	鋼鉄製の弦をあらかじめ引いておき、機械式の引き金を引くだけで矢を発射する事ができる。ショート・ボウやロング・ボウに比べて扱いが簡単な武器だ。
168	& Harp~	25	当方		A stringed instrument preferred by Bards.	吟遊詩人が好んで使う弦楽器だ。
170	& Flute~	66	当方		A simple woodwind instrument.	素朴な木管楽器だ。
175	& Arrow~	3	変愚	1.000	A standard clothyard arrow, straight and cleanly fletched.	たくみに羽が付けられた真っ直な標準的な矢だ。
178	& Seeker Arrow~	70	変愚	1.000	Carved from a rare wood, this arrow is inscribed with fell runes and fletched with eagle feathers.	希少な種類の木材から切り出され、鷲の羽を付け、威力を高めるルーンを刻まれた矢だ。
185	& Bolt~	10	変愚	1.000	A short, heavy arrow shot from a crossbow.	発射時の強い負荷に耐えるように作られた短く重いクロスボウ用の矢だ。
188	& Seeker Bolt~	80	変愚	1.000	A mighty quarrel, bound about with battle magics.	威力を高める魔法が掛けられた強力なクロスボウ用の矢だ。
195	& Cloak~	1	変愚	1.000	A traveller's sturdy outer garment.	冒険者用の丈夫な外套だ。
196	& Elven Cloak~	30	変愚	0.996	A mantle made of curious silken material by the Galadhrim that wondrously takes on the hues and shapes of its surroundings.	不思議な絹のような素材で作られた外套だ。その素材は周りの景色の色と形を映し出し、着用者を隠す効果がある。
198	& Ethereal Cloak~	50	変愚	1.000	This unearthly, completely transparent body mantle folds and drapes in iridescent patterns around you. It weighs absolutely nothing.	この世の物ではない、この完全に透明な外套は着る者を虹模様で包み飾る。それは完全に重さがない。
199	& Shadow Cloak~	60	変愚	1.000	A midnight-hued cloak that wreathes the wearer in folds of shadow.	着用者を影の層で包み込む闇夜の色のクロークだ。
205	& Pair~ of Soft Leather Boots	3	変愚	1.000	These are calf-high boots of flexible leather, laced from heel to calf.	ふくらはぎの高さまでの柔軟な革のブーツだ。踵からふくらはぎまで結び紐が付いている。
206	& Pair~ of Hard Leather Boots	5	変愚	1.000	A set of sturdy leather boots that will last many weary miles.	長い旅路でも良く保つ丈夫な革製のブーツだ。
208	& Pair~ of Metal Shod Boots	20	当方	0.788	A set of double-lined leather boots, with toes and heels reinforced with iron, allowing the wearer to deal a swift kick.	二重張りの革のブーツで、爪先と踵が鉄で補強されており、履き手は素早い蹴りを繰り出せる。
209	& Pair~ of Mithril Shod Boots	50	当方		A set of double-lined leather boots, with toes and heels reinforced with iron, allowing the wearer to deal a swift kick.	二重張りの革のブーツで、爪先と踵が鉄で補強されており、履き手は素早い蹴りを繰り出せる。
212	& Hard Leather Cap~	3	変愚	1.000	A padded skullcap of boiled leather.	煮固めた革製の詰め物入りの帽子だ。
213	& Metal Cap~	10	変愚	1.000	A pot-helm of steel that protects the skull.	頭部を保護する鋼鉄の帽子だ。
215	& Iron Helm~	20	変愚	1.000	A mighty helmet of heavy iron, completely enclosing the head.	頭部を完全に覆う鉄製のヘルメットだ。
216	& Steel Helm~	40	変愚	1.000	This great helm covers the head and shoulders with plates of steel and a curtain of mail.	鋼鉄板と鎖かたびらを組み合わせて、頭部から肩までを完全に覆う防具だ。
217	& Mithril Helm~	50	当方		A mighty helmet of pure mithril, completely enclosing the head.	頭をすっぽりと包む、純ミスリル製の頑丈な兜だ。
218	& Dragon Helm~	60	変愚	1.000	A dragon-winged great helm, glowing in all the colors of the rainbow. It grants resistance to the elements.	ドラゴンの翼飾りのある大きな兜で、虹色に輝く。元素への耐性を保証する。
220	& Iron Crown~	30	変愚	1.000	A plain band of iron, crowned with iron spikes. It is a tyrant's symbol.	鉄の環に鉄の突起で飾りが付けられた冠だ。君主の印である。
221	& Golden Crown~	40	変愚	1.000	An elegant golden circlet, with slender spines thrusting upward. It looks like it should be resting over the brow of a king.	幾つもの細い突起が上向きに付いた優雅な金の頭飾り。王の額に相応しい物に見える。
222	& Jewel Encrusted Crown~	40	変愚	0.996	An elaborately decorated crown of massive gold, studded with a rainbow of gems and jewels; worthy of an emperor.	精巧に飾り付けられた重厚な金の冠に様々な宝石が虹色にちりばめられている。
224	& Knit Cap~	3	当方		A soft woolly hat.	柔らかい毛糸の帽子だ。
225	& Pointy Hat~	3	当方		A pointy hat. (You wonder if wearing it will automatically make you a magician...)	とんがった帽子だ。（かぶれば自動的に魔法使いになれるのだろうか、と考えてしまう……）
227	& Set~ of Leather Gloves	1	変愚	1.000	Leather hand protection, with an open palm for gripping weapons.	革製の手甲で、手のひらは武器を握るために開いている。
228	& Set~ of Studded Leather Gloves	5	当方		Leather hand protection, with an open palm for gripping weapons. The knuckles are weighted with studs to allow for heavier blows.	手を守る革の防具で、武器を握れるよう手のひらが開いている。拳の甲は鋲で重みを加えてあり、より重い一撃を放てる。
229	& Set~ of Gauntlets	10	変愚	1.000	A set of gloves that completely covers the hand and wrist in steel plating.	手と手首を鋼鉄板で完全に覆うグローブだ。
230	& Set~ of Spiked Gauntlets	20	当方		A set of gloves that completely covers the hand and wrist in steel plating. Sharp spikes extend from the knuckles.	手と手首を鋼の板ですっぽり覆う手甲だ。拳の甲から鋭い棘が突き出している。
233	& Set~ of Caestus	55	当方		An ancient battle glove designed for hand-to-hand fighting. Its layered leather thongs are enhanced for combat by bloody-looking spikes.	素手の格闘のために作られた古代の戦闘用グローブだ。幾重にも巻いた革紐に、血に塗れたような棘が打ち込まれている。
235	& Small Leather Shield~	3	変愚	1.000	A circular shield of cured animal hide stretched over layered wooden strips.	煮固めた動物の革を重ねた小さな木の板いっぱいに伸ばして作った丸い盾だ。
236	& Small Metal Shield~	10	変愚	1.000	A round shield of wood reinforced with metal rims and central disk.	金属の縁材と中心の円盤で強化した円形の木の盾だ。
237	& Large Leather Shield~	15	変愚	1.000	A large oval shield made of layered wooden strips with a thick leather covering.	重ねた木の板を厚い革で覆った大きな楕円形の盾だ。
238	& Large Metal Shield~	30	変愚	1.000	An oval shield of wood covered by leather and rimmed with metal. A large iron shield boss offers excellent hand protection.	革で覆った木の板を金属で縁取った楕円形の盾だ。盾の大きな鉄の突起は素晴らしい腕の防御をもたらす。
246	& Filthy Rag~	0	変愚	1.000	This tattered rag appears to once have been a robe, but has been patched and re-patched so many times that you can't be sure.	このぼろきれは元々はローブだった物のようだが、あまりにも継ぎはぎだらけでよく判別できない。
247	& Robe~	1	変愚	1.000	A practical garment of thick wool or velvet, draping from neck to heels.	首から踵までを覆う、ビロードまたは綿製の実用的な衣服だ。
249	Soft Leather Armour~	3	変愚	1.000	A cuirass of pliable leather with a thicker leather jack.	しなやかな革の胴当てに薄い革ジャケットが付いた鎧だ。
250	Soft Studded Leather~	3	変愚	1.000	A cuirass of pliable leather studded with metal rivets.	多数の金属製の鋲で補強されたしなやかな革の胴当てだ。
251	Hard Leather Armour~	5	変愚	1.000	A boiled leather cuirass and shoulder plates.	煮固めた革製の胴当てと肩当てが付いた鎧だ。
252	Hard Studded Leather~	10	変愚	1.000	A strong leather breastplate and shoulder guards over a sleeved shirt of cured leather covered with iron studs.	多数の金属製の鋲で補強した革製のシャツに煮固めた革製の胴当てと肩当てが付いた鎧だ。
256	Leather Scale Mail~	15	変愚	1.000	A tunic and skirt sewn with thick, overlapping scales of hardened leather.	革製のシャツに煮固めた革製の鱗のような形の部品を多数縫い付けてある鎧だ。
270	Rusty Chain Mail~	25	変愚	1.000	Each link of this suit is brittle with rust, and the corroded rings are stiff and weakened.	この鎧の各部の継ぎ目は錆で脆くなっており、朽ちた鎖の輪は固まってしまい弱まっている。
272	Metal Scale Mail~	25	変愚	1.000	A heavy shirt of overlapping steel scales backed by leather, with matching skirt and sleeves.	革製の袖付きシャツに鋼鉄製の鱗のような形の部品を多数縫い付けてある鎧だ。
273	Chain Mail~	25	変愚	1.000	A sleeved hauberk of interlocking steel rings, well padded with leather. Chain mail takes skill to make, but offers good protection and relatively low weight.	鋼鉄の輪が噛み合った袖付きの鎖かたびらで、革が当てられている。鎖かたびらを作るには熟練を要するが、高い防御力を持ち比較的に軽量に仕上がる。
275	Augmented Chain Mail~	30	変愚	1.000	A hauberk, leggings, and sleeves of interlocking steel rings, strategically reinforced at vital locations with a second layer of chain, all over a layer of heavy padding.	噛み合った鋼鉄の輪でできた鎖かたびらの胴鎧と脛当てと袖であり、2枚目の鎖の層で重要な部分を戦略的に補強しており、至る所に重い詰め物の層がある。
281	Partial Plate Armour~	45	変愚	1.000	A steel corselet and vambraces over a skirt and leggings of chain.	鋼鉄製の胴鎧であり、スカートの上部には腕鎧があり、鎖の脛当てを持つ。
284	Full Plate Armour~	45	変愚	1.000	A full suit of carefully fitted plates, with hinged joints backed by chain, and light padding underneath.	念入りに体に合わせた鉄板製の全身鎧であり、ちょうつがいで繋がった部分の裏は鎖で守られ、鎧の裏には軽い詰め物がある。
287	Mithril Chain Mail~	55	変愚	1.000	Rare and wondrous is chain mail made of true-silver, for it offers more protection for the weight than any other armour.	本当に希少で驚くべきまことの銀製の鎖かたびらであり、他の鎧に比べてもその軽さにしてより高い防御を与える。
288	Mithril Plate Mail~	60	変愚	1.000	A shimmering suit of true-silver, forged long ago by dwarven smiths of legend. It gleams with purest white as you gaze upon it.	遥かなる昔に伝説のドワーフの鍛冶師に鍛えられた、輝くまことの銀の鎧だ。凝視すると純白にきらめく。
289	Adamantite Plate Mail~	75	変愚	1.000	Adamantite, hard as diamonds, forms this exquisite suit; nothing else in Middle Earth gives as much protection.	ダイアモンドのように硬いアダマンタイトでできた精巧で美しい鎧であり、これほどの防御をもたらす鎧は中つ国には他に存在しない。
292	Black Dragon Scale Mail~	40	変愚	1.000	A suit of utterly black scales, against which no metal or wood can rest.	木や金属が耐えられないかのような漆黒の鱗鎧だ。
293	Blue Dragon Scale Mail~	40	変愚	1.000	A suit of scales as blue as sapphires, emitting eerie sparks and flashes as you move about in it.	着た者が動くと不気味な稲妻と光を放つ、サファイアのように青い鱗鎧だ。
294	White Dragon Scale Mail~	40	変愚	1.000	A suit of scales, coldly gleaming in frosty white. A shiver runs down through your spine even as you look at it.	冷淡な白に冷たくきらめく鱗鎧だ。それを見る時、背筋が寒くなる。
295	Red Dragon Scale Mail~	40	変愚	1.000	A suit of scales, with all the reds of every fire ever lit. The scar tissue from an old burn aches as you put this armour on.	常に燃える炎に赤く彩られた鱗鎧だ。これを着ると古い火傷跡が痛む。
296	Green Dragon Scale Mail~	45	変愚	1.000	A suit of scales, glistening in sickly green.	病的な緑に光る鱗鎧だ。
297	Multi-Hued Dragon Scale Mail~	75	変愚	1.000	A suit of scales that throbs with angry energies; it takes all your energy to master the Elements fighting an endless war trapped inside.	怒りのエネルギーに脈打つ鱗鎧で、鎧の中に捕らわれ永遠に戦い続けるエレメント達を支配するために着る者の力全てを用いる。
299	Law Dragon Scale Mail~	60	変愚	1.000	A suit of scales in stern blue and silver. You feel the slightest tremor as you touch it, like massed trumpets heard and cyclones felt from afar.	厳粛な青と銀の鱗鎧だ。それに触れると、トランペットの集団の演奏が聞こえるか遠方からの竜巻を感じるかのようにごく微かな振動を感じる。
300	Bronze Dragon Scale Mail~	50	変愚	1.000	A suit of scales, gleaming in rich engraved bronze. The more you look at the the maze of whorls and lines that close inspection reveal on its surface, the less sense you are able to make of them.	贅沢に彫刻された青銅がきらめく鱗鎧だ。近づいて見ると鎧の表面に現れる渦と線の迷宮を見れば見るほど、どうやってそれらができているのかわからなくなる。
301	Silver Dragon Scale Mail~	50	当方		A suit of scales in mirror-like silver. You feel a great stillness come over you as you regard the quality of the object.	鏡のような銀色の鱗で組まれた鎧だ。その出来栄えを眺めていると、深い静けさに包まれる。
302	Gold Dragon Scale Mail~	50	変愚	1.000	A suit of scales in mirror-like gold. You hear nothing unusual as you wear this armour, yet your ears ache as though in the midst of a cacophony.	鏡のような金の鱗鎧だ。不協和音の中にいるかのように耳が痛くなり、この鎧を着ると異常なまでに何も聞こえなくなる。
303	Chaos Dragon Scale Mail~	65	変愚	1.000	A suit of scales. Every shape, in every color imaginable, riot and contend upon its surface as you stare in fascination.	鱗鎧だ。魅惑されて見つめると、その表面で想像できる限りの色をとる様々な形すべてが乱舞し争う。
304	Balance Dragon Scale Mail~	80	変愚	1.000	A suit of scales. Featureless grey to casual inspection, yet a closer look reveals patterns within patterns of iridescence that throb with leashed energies bound as though by chains of adamant.	鱗鎧だ。何気なく見ると平凡な灰色だが、近づいてよく見るとアダマンタイトの鎖のようなものに縛られたエネルギーが脈打つ虹色の紋様の中にも紋様が現れる。
305	Power Dragon Scale Mail~	110	変愚	0.997	A suit with scales of every color, surrounded in a nimbus of perfectly untrammelled yet inextricably intermingled and utterly mastered powers elemental and ethereal.	すべての色を持つ鱗鎧で、完全な自由でありながら密接に混ざり合い完全に支配された元素と天上界の力の後光に包まれている。
707	Rune	0	当方		A cryptic rune, of powers incomprehensible.	謎めいたルーンで、その力は計り知れない。
