# モンスターの説明文
#
# **この表が説明文の定義の置き場。** 作り直しは `python tools/frox/fc_build_ja_desc.py --write`、
# ここから `edit/r_info.ja.txt` の `D:` を組むのは `fc_build_ja_names.py --write`。
#
# 欄はタブ区切りで idx / name / dep / src / ratio / en / ja。
#   src=変愚   … 英語原文が変愚と一致。訳をそのまま採った
#   src=変愚≒  … ほぼ一致（ratio が材料）。**目で確かめること**
#   src=当方   … 人が書いた。**作り直しでも消さない**
#   src=未訳   … 空欄。英語のまま出る（制約 4）
#
# ja を書き替えれば src は次の作り直しで自動的に `当方` になる。
# name と en は**人が読むため**で、突き合わせには使わない（突き合わせは idx）。
idx	name	dep	src	ratio	en	ja
107	Death sword	14	変愚	1.000	A bloodthirsty blade lurking for prey. Beware!	獲物を待ち構えて潜んでいる血に飢えた刃だ。気をつけろ！
108	Purple mushroom patch	6	変愚	1.000	Yum! It looks quite tasty.	うーん！それはとてもおいしそうに見える。
109	Novice priest	4	変愚	1.000	He is tripping over his priestly robes.	彼は自分の法衣のすそを踏んづけてはつまづいている。
110	Novice warrior	4	変愚	1.000	He looks inexperienced but tough.	彼はまだまだ経験は浅いようだが、手強い相手だ。
111	Nibelung	6	変愚	1.000	Night dwarfs collecting new riches for their master, Alberich.	夜のドワーフで、彼らの主人アルベリヒのために富を集めている。
112	Disembodied hand that strangled people	6	変愚	1.000	Even today, nobody knows where it lurks...	今日でさえ、それがどこに潜んでいるのか誰も知らない。
113	Brown mold	6	変愚	1.000	A strange brown growth on the dungeon floor.	ダンジョンの床に生えている奇妙な茶色のカビだ。
114	Giant brown bat	6	変愚	1.000	It screeches as it attacks.	それは攻撃をするときにキーキーと鳴く。
115	Rat-thing	6	変愚	1.000	"A ratlike creature with a humanlike face. ""The bones of the tiny paws, it is rumoured, imply prehensile characteristics more typical of a diminutive monkey than a of a rat; while the small skull with its savage yellow fangs is of the utmost anomalousness, appearing from certain angles like a miniature, monstrously degrade parody of a human skull."""	遠目に見ると普通のネズミのようだが、頭部は邪悪な人間の顔である。足先も人間の手のようになっており、非常に強くて鋭い牙を持っている。死んだ信者を怪物に変え、死後も仕えさせようとして創造されたものと思われる。彼らは不老であり、自然死ということはない。（ラヴクラフト「魔女屋敷で見た夢」）
116	Novice archer	6	変愚	1.000	A nasty little fellow with a bow and arrow.	弓と矢を持った、背の低いやっかいな奴だ。
117	Creeping silver coins	6	変愚	1.000	It is a pile of coins, crawling forward on thousands of tiny legs.	それはコインの塊で、何千もの小さな足で前に進む。
118	Snaga	6	変愚	1.000	He is one of the many weaker 'slave' orcs, often mistakenly known as a goblin.	彼は多くの弱い「奴隷」のオークの一人で、しばしば間違ってゴブリンという名前で知られている生物だ。
119	Rattlesnake	6	変愚	1.000	It is recognized by the hard-scaled end of its body that is often rattled to frighten its prey.	それは尻尾に硬い殻を持ったヘビで、その殻をガラガラとならして獲物を脅かす。
120	Giant slug	6	変愚	1.000	It is slowly making its way towards you, eating everything in its path...	それはゆっくりとあなたに近づいてくる。途中にあるものを全て食べながら...
121	Giant pink frog	7	変愚	1.000	It looks poisonous.	それは毒を持っているようだ。
122	Dark elf	7	変愚	1.000	An elven figure with jet black skin and white hair, his eyes are large and twisted with evil.	漆黒の肌と白い髪の毛を持ったエルフで、その大きな目は邪悪に歪んでいる。
123	Zombified kobold	7	変愚	1.000	It is an animated kobold corpse. Flesh falls off in large chunks as it shambles forward.	それは生命を吹き込まれたコボルドの死骸だ。腐った肉を落としながら、よろよろと前に歩いている。
124	Crypt Creep	7	変愚≒	0.903	Frightening skeletal figures in black robes.	黒装束に身を包んだ恐ろしげな骸骨の姿だ。（ロバート・ブロック「窖に潜むもの」）
125	Rotting corpse	7	変愚≒	0.862	Corpses awakened from their sleep by dark sorceries.	暗黒魔術により眠りを覚まされた死体だ。
126	Cave orc	7	変愚	1.000	He is often found in huge numbers in deep caves.	彼はしばしば洞窟の深層に大集団で見受けられる。
127	Wood spider	7	変愚	1.000	It scuttles towards you.	それは一目散に冒険者に向かってくる。
128	Manes	7	変愚	1.000	It is a minor but aggressive demon.	それは下級だが攻撃的なデーモンだ。
129	Bloodshot eye	7	変愚	1.000	A disembodied eye, bloodshot and nasty.	体を持たない、血走っていて忌まわしい目玉だ。
130	Pink naga	7	当方		A large pink snake with a woman's torso.	女性の上半身を持った大きなピンクのヘビだ。
131	Pink jelly	7	当方		It is a large pulsating mound of pinkish flesh.	それは脈打つ、ピンクがかった肉の大きな塊だ。
132	Caustic icky thing	7	当方		It is a smallish, slimy, icky, acidic creature.	それは小さくてヌルヌルした、汚らしい酸性の生き物だ。
133	Lost soul	7	変愚	1.000	It is almost insubstantial.	それはほとんど実体を持っていない。
134	Night lizard	7	変愚	1.000	It is a black lizard with overlapping scales and a powerful jaw.	それは硬い皮と強力な顎を持った黒いトカゲだ。
135	Mughash the Kobold Lord	7	変愚	1.000	Strong and powerful, for a kobold.	コボルドの中でも、特に屈強で強力だ。
136	Skeleton orc	8	変愚	1.000	It is an animated orc skeleton.	それは生命を吹き込まれたオークの骸骨だ。
137	Wormtongue, Agent of Saruman	8	変愚	1.000	"He's been spying for Saruman. He is a snivelling wretch with no morals. ""At [Theoden's] feet upon the steps sat a wizened figure of a man, with a pale wise face and heavy-lidded eyes...he laughed grimly, as he lifted his heavy lids for a moment and gazed on the strangers with dark eyes."""	彼はサルマンのためにスパイをしている。彼はこの世の全てに不満を抱いている不運な奴で、何のモラルもない歪んだ性質をしている。「また足許には賢人めいた青白い顔に瞼の重たくかぶさる目をした、しなびた男が一人、階段に腰を下ろしていました…彼は薄気味悪い笑い声を立てながら、ちらと重い瞼を上げ、悪意のある目をじっと旅人たちに注ぎました。」（J.R.R.トールキン、瀬田貞二・田中明子訳 新版指輪物語） 
138	Robin Hood, the Outlaw	8	変愚	0.973	The legendary archer steals from the rich (you qualify).	この伝説の射手は金持ち（あなたは合格）から金を盗む。
139	Nurgling	8	変愚	1.000	It is a minor demon servitor of Nurgle. It looks like a hairless teddy bear, with twisted eyes and rotting, ghoulish skin.	それは<ナーグル>の配下の低級悪魔だ。毛のないテディベアのようで、目は歪み、肌は腐敗して死鬼のようだ。
140	Lagduf, the Snaga	8	変愚	1.000	"A captain of a regiment of weaker orcs, Lagduf keeps his troop in order with displays of excessive violence. ""I've told you twice that Gorbag's swine got to the gate first, and none of ours got out. Lagduf and Muzgash ran through, but they were shot."""	ラグドゥフは弱いオークの部隊を指揮する隊長で、過剰な暴力を示すことで部隊の統制を保っている。「お前さんには二度も話してるぜ、ゴルバグの豚どものほうが先に門を出たとね、そしておれたちのほうはだれも出ちゃおらんとね。ラグドゥフとムズガッシュの野郎が駆け抜けたが、二人とも矢で射たれた。」（J.R.R.トールキン、瀬田貞二・田中明子訳 新版指輪物語） 
141	Brown yeek	8	変愚	1.000	It is a strange small humanoid.	それは奇妙な小さい人間型のモンスターだ。
142	Novice ranger	6	変愚	1.000	An agile hunter, ready and relaxed.	機敏な野伏で、常に戦闘を意識している。
143	Giant salamander	8	変愚	1.000	A large black and yellow lizard. You'd better run away!	黒と黄色のまだらの大きなトカゲだ。逃げた方がいいぞ！
144	Space monster	8	変愚	1.000	A black hole in the fabric of reality.	現実という生地に空いた黒い穴だ。
145	Carnivorous flying monkey	8	変愚	1.000	It looks fantastic, yet frightening.	それは奇っ怪で、しかも恐ろしく見える。
146	Green mold	8	変愚	1.000	It is a strange growth on the dungeon floor.	それはダンジョンの床に生えている奇妙なカビだ。
147	Novice paladin	6	当方	0.416	He thinks you are an agent of the devil.	彼はあなたを悪魔の手先だと思っている。
148	Lemure	8	変愚	1.000	It is the larval form of a major demon.	それは上級デーモンの幼生形態だ。
149	Hill orc	8	変愚	1.000	He is a hardy well-weathered survivor.	彼は困難な環境に耐えてきた生き残りのオークだ。
150	Bandit	8	変愚	1.000	He is after your cash!	彼は冒険者の現金に目を付けている！
151	Hunting hawk of Julian	8	変愚	1.000	Trained to hunt and kill without fear.	それは恐れる事なしに狩る事を訓練された鷹だ。
152	Phantom warrior	8	変愚	1.000	Creatures that are half real, half illusion.	半分物質で、半分幻影のモンスターだ。
153	Gremlin	8	変愚	0.992	Don't splash water on them, and don't feed them after midnight!	水を掛けたり、真夜中を過ぎてから餌をやってはいけない！
154	Yeti	12	変愚	1.000	A large white figure covered in shaggy fur.	毛むくじゃらの大きな白いモンスターだ。
155	Bloodshot icky thing	9	変愚	1.000	It is a strange, slimy, icky creature.	それはドロドロしてベトベトした奇妙なモンスターだ。
156	Giant grey rat	9	変愚	1.000	It is a rodent of unusual size.	尋常ではない大きさの齧歯類の生物だ。
157	Black harpy	9	変愚	1.000	A woman's face on the body of a vicious black bird.	女性の顔をした凶暴な黒い鳥だ。
158	Skaven	9	変愚	1.000	A mutated rat-creature from the great waste, it is vaguely humanoid in appearance and walks on its hind legs. This race serves chaos fervently and is greatly feared by others.	大荒野から来たネズミ型生物の突然変異体で、概ね人間型の姿をしていて後足で立って歩く。この種族は混沌に熱狂的に仕え、他の種族から恐れられている。
159	The Wounded Bear	9	変愚	1.000	A wounded bear, who has occasionally attacked humans.	傷ついた熊で、人間を襲うこともある。
160	Portuguese man-o-war	9	変愚	1.000	A strange water creature, whose touch can be deadly.	奇妙な水棲生物で、その触手は致命的な毒を持つ。
161	Rock mole	9	変愚	1.000	Despite its minuscule size, this mole creature has fangs powerful enough to bore through solid rock.	その小さな体にも関わらず、このモグラの牙は強力で岩を掘り進むことができる。
162	Orc shaman	9	変愚	1.000	An orc dressed in skins who gestures wildly.	荒々しい身振りをする、獣の皮を身にまとったオークだ。
163	Baby blue dragon	9	変愚	1.000	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a pale blue.	このドラゴンは生まれたばかりなので、まだそれほど凶暴ではない。その目は光に慣れておらず、鱗は薄い青色をしてる。
164	Baby white dragon	9	変愚	1.000	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a pale white.	このドラゴンは生まれたばかりなので、まだそれほど凶暴ではない。その目は光に慣れておらず、鱗は薄い白色をしている。
165	Baby green dragon	9	変愚	1.000	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a sickly green.	このドラゴンは生まれたばかりなので、まだそれほど凶暴ではない。その目は光に慣れておらず、鱗は病的な緑色をしている。
166	Baby black dragon	9	変愚	1.000	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a dull black.	このドラゴンは生まれたばかりなので、まだそれほど凶暴ではない。その目は光に慣れておらず、鱗は鈍い黒色をしている。
167	Baby red dragon	9	変愚	1.000	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a pale red.	このドラゴンは生まれたばかりなので、まだそれほど凶暴ではない。その目は光に慣れておらず、鱗は薄い赤色をしている。
168	Giant pink ant	9	当方		It is large and has vicious mandibles.	それは大きくて、獰猛な顎を持っている。
169	Brodda, the Easterling	9	変愚	1.000	"A nasty piece of work, Brodda picks on defenseless women and children. ""And Morwen was gone. Empty stood her house, broken and cold. It was more than a year since she departed to Doriath. Brodda the Easterling (who had wedded Morwen's kinswoman Airin) had plundered her house, and taken all that was left of her goods."""	残忍な性質を持っているブロッダは、特に弱い子供や女性をつけ狙う。「……そしてモルウェンもいなくなっていた。モルウェンの住まっていた家は、彼女がドリアスに去った年以来、冷え冷えとして住む人もいない廃虚となっていた。東夷ブロッダ（モルウェンの身内アイリンを娶った男である）がその家を略奪し、残されていた彼女の持物のすべてを我が物としていたのである。」J.R.R.トールキン、田中明子訳『シルマリルの物語』
170	Bloodfang the Wolf	9	変愚	1.000	It has been terrorizing the nearby villages.	奴は近隣の村々を恐怖に落とし入れてきた。
171	King cobra	9	変愚	1.000	It is a large snake with a hooded face.	それは頭巾のような頭をした大きなヘビだ。
172	Eagle	9	変愚	1.000	A magnificent huge predatory bird.	堂々たる肉食の巨大な鳥だ。
173	War bear	9	変愚	1.000	Bears with tusks, trained to kill.	その鋭い牙で人を殺すように訓練された熊だ。
174	Killer bee	9	変愚	1.000	It is poisonous and aggressive.	それは毒を持っている上に攻撃的だ。
